id,title,release_date,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,runtime,vote_average,vote_count,popularity,budget,revenue,tagline,director,producer_1,producer_2,producer_3,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,overview,original_language,homepage,backdrop_path,poster_path,collection_name,keywords,adult_content
278,The Shawshank Redemption,1994-09-23,Drama,Crime,,,,,142,8.708,27897,6.328,25000000,28341469,Fear can hold you prisoner. Hope can set you free.,Frank Darabont,Niki Marvin,,,Morgan Freeman,Tim Robbins,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",en,,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,,"prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover, admiring",False
238,The Godfather,1972-03-14,Drama,Crime,,,,,175,8.69,21163,6.548,6000000,245066411,An offer you can't refuse.,Francis Ford Coppola,Albert S. Ruddy,Francis Ford Coppola,Robert Evans,Marlon Brando,Al Pacino,James Caan,Robert Duvall,Richard S. Castellano,Diane Keaton,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",en,http://www.thegodfather.com/,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,The Godfather Collection,"based on novel or book, loss of loved one, love at first sight, italy, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, macabre, gun violence, rise to power, dead horse, gang violence, aggressive, 1940s, 1950s, mafia war, vindictive, suspenseful, tense, admiring, audacious, commanding",False
240,The Godfather Part II,1974-12-20,Drama,Crime,,,,,202,8.6,12777,5.712,13000000,102600000,The rise and fall of the Corleone empire.,Francis Ford Coppola,Francis Ford Coppola,,,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale,Talia Shire,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",en,,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,The Godfather Collection,"new year's eve, new york city, based on novel or book, italian american, cuba, italy, gangster, praise, blackmail, symbolism, senator, melancholy, revenge, murder, betrayal, organized crime, extortion, mafia, lawyer, suburb, sicilian mafia, corrupt politician, aggressive, 1950s, new year, vindictive, cautionary, grand, violence, admiring, audacious, tragic",False
424,Schindler's List,1993-12-15,Drama,History,War,,,,195,8.567,16227,5.169,22000000,321365567,"Whoever saves one life, saves the world entire.",Steven Spielberg,Steven Spielberg,Branko Lustig,Gerald R. Molen,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,en,http://www.schindlerslist.com/,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,,"factory, hero, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, evil, disturbed, philosophical, weapons manufacturer, loving, hopeful, nazi train",False
389,12 Angry Men,1957-04-10,Drama,,,,,,97,8.548,8968,5.143,397751,4360000,Life is in their hands — Death is on their minds!,Sidney Lumet,Henry Fonda,Reginald Rose,,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",en,,/bxgTSUenZDHNFerQ1whRKplrMKF.jpg,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,,"death penalty, anonymity, court case, court, judge, jurors, father murder, class, heat, innocence, puerto rico, based on play or musical, black and white, courtroom, hostile, courtroom drama, cautionary, callous",False
129,Spirited Away,2001-07-20,Animation,Family,Fantasy,,,,125,8.5,16918,4.437,19000000,274925095,On the other side of the tunnel was a mysterious town.,Hayao Miyazaki,Toshio Suzuki,,,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naito,Yasuko Sawaguchi,Tsunehiko Kamijô,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",ja,http://movies.disney.com/spirited-away,/6oaL4DP75yABrd5EbC4H2zq5ghc.jpg,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,,"witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime",False
19404,Dilwale Dulhania Le Jayenge,1995-10-20,Comedy,Drama,Romance,,,,190,8.5,4468,3.531,13200000,100000000,"Come… Fall In love, All Over Again…",Aditya Chopra,Yash Chopra,,,Kajol,Shah Rukh Khan,Amrish Puri,Farida Jalal,Anupam Kher,Pooja Ruparel,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",hi,,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,,"family's daily life, family history, love-hate relationship, family drama, love affair, curious, casual, bollywood, romantic, admiring, adoring",False
155,The Dark Knight,2008-07-16,Drama,Action,Crime,Thriller,,,152,8.519,33556,5.838,185000000,1004558444,Welcome to a world without rules.,Christopher Nolan,Emma Thomas,Christopher Nolan,Charles Roven,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",en,https://www.warnerbros.com/movies/dark-knight/,/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,The Dark Knight Collection,"joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold",False
1356039,Counterattack,2025-02-27,Action,Adventure,Thriller,,,,85,8.507,458,9.347,0,0,,Chava Cartas,Francisco González Compeán,Sebastian Jurado,,Luis Alberti,Noé Hernández,Leonardo Alonso,Luis Curiel,Guillermo Nava,David Calderón León,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",es,https://www.netflix.com/title/81936018,/ixKQ55OL3S4Lm0wuKU0s09cVGpX.jpg,/lI2uFlSEkwXKljqiry7coaJ6wIS.jpg,,"mexico, usa–mexico border, special forces, military, narcos, amused, murcielagos",False
497,The Green Mile,1999-12-10,Fantasy,Drama,Crime,,,,189,8.505,17901,4.717,60000000,286801374,Paul Edgecomb didn't believe in miracles. Until the day he met one.,Frank Darabont,David Valdes,Frank Darabont,,Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell,Michael Jeter,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",en,http://thegreenmile.warnerbros.com/,/vxJ08SvwomfKbpboCWynC3uqUg4.jpg,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,,"mentally disabled, based on novel or book, southern usa, psychopath, death row, jail guard, supernatural, great depression, prison guard, jail, electric chair, torture, magic realism, healing, hopeless, grim, 1930s, abuse of power, inspirational, authoritarian, demeaning, pessimistic",False
